vdlName,VDL_ID,CLASS,LAT,LON
SS53 GRID,SS53,GRID,37.1392109,-8.630932905
SS54 GRID,SS54,GRID,37.13918292,-8.631741071
SS55 GRID,SS55,GRID,37.13910229,-8.631447468
SS56 GRID,SS56,GRID,37.13920719,-8.631733715
SS57 GRID,SS57,GRID,37.13900839,-8.632009607
SS57 GRID,SS57,GRID,37.13902072,-8.632011956
SS58 GRID,SS58,GRID,37.13890786,-8.633488809
TN01 GRID,TN01,GRID,37.13913658,-8.635204343
TN02 GRID,TN02,GRID,37.13913719,-8.635203345
TN03 GRID,TN03,GRID,37.1393987,-8.634703927
TN04 GRID,TN04,GRID,37.13942732,-8.635135566
TN05 GRID,TN05,GRID,37.13942732,-8.635135566
TN05 GRID,TN05,GRID,37.13930677,-8.635426739
TN06 GRID,TN06,GRID,37.13942732,-8.635135566
TN07 GRID,TN07,GRID,37.13913599,-8.63555585
TN07 GRID,TN07,GRID,37.13914403,-8.635572285
TN08 GRID,TN08,GRID,37.13913599,-8.63555585
TN09 GRID,TN09,GRID,37.13959662,-8.634834583
TN10 GRID,TN10,GRID,37.13959662,-8.634834583
TN11 GRID,TN11,GRID,37.13959662,-8.634834583
TN12 GRID,TN12,GRID,37.13928641,-8.635873581
TN13 GRID,TN13,GRID,37.13927026,-8.636140639
TN14 GRID,TN14,GRID,37.13927026,-8.636140639
TN15 GRID,TN15,GRID,37.13963304,-8.635647548
TN16 GRID,TN16,GRID,37.13963304,-8.635647548
TN16 GRID,TN16,GRID,37.13969389,-8.635039453
TN17 GRID,TN17,GRID,37.13966131,-8.634818738
TN18 GRID,TN18,GRID,37.13979199,-8.634589343
TS01 GRID,TS01,GRID,37.13837397,-8.635637283
TS02 GRID,TS02,GRID,37.13839599,-8.635611407
TS02 GRID,TS02,GRID,37.1385435,-8.635433884
TS03 GRID,TS03,GRID,37.13832962,-8.635290116
TS04 GRID,TS04,GRID,37.13852327,-8.635104033
TS05 GRID,TS05,GRID,37.13849409,-8.634761089
TS06 GRID,TS06,GRID,37.13871824,-8.634554454
TS07 GRID,TS07,GRID,37.13874134,-8.634229643
TS08 GRID,TS08,GRID,37.13889966,-8.633962412
TS09 GRID,TS09,GRID,37.13897829,-8.634243622
TS10 GRID,TS10,GRID,37.13886649,-8.6345981
TS11 GRID,TS11,GRID,37.13878464,-8.634965537
TS12 GRID,TS12,GRID,37.13886105,-8.635232272
TS13 GRID,TS13,GRID,37.13905877,-8.634895242
TS14 GRID,TS14,GRID,37.1391693,-8.634657257
TS15 GRID,TS15,GRID,37.13909171,-8.634292355
TS15 GRID,TS15,GRID,37.13964005,-8.629244239
WZ01 GRID,WZ01,GRID,37.13820901,-8.635637127
WZ02 GRID,WZ02,GRID,37.13814656,-8.635955723
WZ03 GRID,WZ03,GRID,37.1382137,-8.636191338
WZ04 GRID,WZ04,GRID,37.13814128,-8.636439694
WZ05 GRID,WZ05,GRID,37.13845093,-8.636200872
WZ06 GRID,WZ06,GRID,37.13852207,-8.635951029
