LAT,LON,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME
37.1397003976,-8.63259927053,4BEA,KVywlIN6BC1535216699421,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1393913022,-8.63293890035,5208,1Ykhp4jNr91535193731465,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1392061217,-8.63316141498,0635,DCE5cdXtpX1535192093776,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1393103548,-8.63319748769,536D,Mdu87uI2Rp1535191450191,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1391043017,-8.63357598012,2CF7,KDhBY6w3ex1537785253361,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1384940925,-8.6347610891,7C4B,NovY1r8ej51535454249451,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1383739679,-8.63563728307,642E,5ABw42EwZS1535279371573,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1398819704,-8.63526069499,41BE,kkDlUEz5zD1534850226684,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1396330422,-8.63564754771,6E45,8xzMIS0Eqc1533057778332,2018-09-14 18:06:57,2018-10-14 18:06:57
37.139286414,-8.63587358067,64E8,OeuHFYPaes1533055734692,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1391371857,-8.63520334507,671D,J4U3lKlFOa1533049255044,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1392988116,-8.6335526296,321D,WUI2nn0kXs1535189281290,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1391308108,-8.63339052843,3100,o2qYk7uYgD1535191040151,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1392978766,-8.63291060514,39B3,j6F3zrWZNk1535470631365,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1399404598,-8.63176123132,60CB,TCFvnJZINF1535470271518,2018-09-14 18:06:57,2018-10-14 18:06:57
37.1399404598,-8.63176123132,5DF9,yjaVD0r6VP1535470143233,2018-09-14 18:06:57,2018-10-14 18:06:57
0.0,0.0,65BE,UTQ9iQp32y1535218909692,2018-09-14 18:06:57,2018-10-14 18:06:57
